"county","year","total_cases","total_deaths"
"Bowie",2022,20222,432
"Bowman",2020,307,4
"Bowman",2021,683,9
"Bowman",2022,828,9
"Box Butte",2020,784,8
"Box Butte",2021,1723,16
"Box Butte",2022,2247,17
"Box Elder",2020,3571,26
"Box Elder",2021,10393,99
"Box Elder",2022,14144,124
"Boyd",2020,3165,34
"Boyd",2021,10400,134
"Boyd",2022,16771,184
"Boyle",2020,2162,2
"Boyle",2021,5934,116
"Boyle",2022,8473,132
"Bracken",2020,275,3
"Bracken",2021,1451,20
"Bracken",2022,2186,26
"Bradford",2020,5268,79
"Bradford",2021,16380,282
"Bradford",2022,23757,357
"Bradley",2020,10077,87
"Bradley",2021,25792,362
"Bradley",2022,36185,464
"Branch",2020,3887,91
"Branch",2021,9402,167
"Branch",2022,12253,206
"Brantley",2020,1059,20
"Brantley",2021,3187,89
"Brantley",2022,4168,109
"Braxton",2020,309,1
"Braxton",2021,2697,31
"Braxton",2022,3940,43
"Brazoria",2020,21553,242
"Brazoria",2021,66632,869
"Brazoria",2022,94245,983
"Brazos",2020,14273,140
"Brazos",2021,40712,368
"Brazos",2022,60873,413
"Breathitt",2020,597,3
"Breathitt",2021,2279,47
"Breathitt",2022,3801,54
"Breckinridge",2020,658,5
"Breckinridge",2021,3465,51
"Breckinridge",2022,5170,78
"Bremer",2020,2271,44
"Bremer",2021,4373,74
"Bremer",2022,5559,82
"Brevard",2020,21034,523
"Brevard",2021,88645,1784
"Brevard",2022,135740,2100
"Brewster",2020,883,8
"Brewster",2021,1115,24
"Brewster",2022,1079,29
"Briscoe",2020,94,2
"Briscoe",2021,262,7
"Briscoe",2022,465,8
"Bristol",2020,37058,1125
"Bristol",2021,114402,2225
"Bristol",2022,169180,2332
"Bristol Bay plus Lake and Peninsula",2020,157,0
"Bristol Bay plus Lake and Peninsula",2021,560,1
"Bristol Bay plus Lake and Peninsula",2022,870,1
"Bristol city",2020,938,8
"Bristol city",2021,2718,58
"Bristol city",2022,4454,80
"Broadwater",2020,294,1
"Broadwater",2021,1014,17
"Broadwater",2022,1283,21
"Brooke",2020,1427,25
"Brooke",2021,3671,86
"Brooke",2022,5082,104
"Brookings",2020,2981,30
"Brookings",2021,5778,41
"Brookings",2022,8149,52
"Brooks",2020,1603,58
"Brooks",2021,3670,122
"Brooks",2022,5072,138
"Broome",2020,8301,206
"Broome",2021,33926,466
"Broome",2022,48947,520
"Broomfield",2020,2837,67
"Broomfield",2021,8767,97
"Broomfield",2022,13997,116
"Broward",2020,137610,1847
"Broward",2021,439975,4978
"Broward",2022,614436,5852
"Brown",2020,41888,401
"Brown",2021,93487,994
"Brown",2022,134248,1325
"Brule",2020,627,7
"Brule",2021,1069,17
"Brule",2022,1415,20
"Brunswick",2020,5052,79
"Brunswick",2021,20494,289
"Brunswick",2022,33826,379
"Bryan",2020,5954,53
"Bryan",2021,15949,194
"Bryan",2022,22890,227
"Buchanan",2020,10684,171
"Buchanan",2021,24768,387
"Buchanan",2022,34377,498
"Buckingham",2020,1423,12
"Buckingham",2021,2882,41
"Buckingham",2022,3993,56
"Bucks",2020,30891,908
"Bucks",2021,92854,1554
"Bucks",2022,126504,1905
"Buena Vista",2020,3727,26
"Buena Vista",2021,5165,49
"Buena Vista",2022,6404,58
"Buena Vista city",2020,514,4
"Buena Vista city",2021,1511,34
"Buena Vista city",2022,2017,44
"Buffalo",2020,5751,65
"Buffalo",2021,12098,112
"Buffalo",2022,16188,132
"Bullitt",2020,4134,30
"Bullitt",2021,13909,160
"Bullitt",2022,21805,223
"Bulloch",2020,4473,57
